lon,lat,source,country,year,wealthpooled,wealthpooled5country,households,urban_rural
91.668003,24.297525,BDHR41DT.ZIP,Bangladesh,2000,0.7769432249415279,-0.5804723802213063,27,0
91.706151,22.524543,BDHR41DT.ZIP,Bangladesh,2000,0.8121147842150115,-0.5920755939285909,28,1
91.713266,22.515238,BDHR41DT.ZIP,Bangladesh,2000,0.6081816446654228,-0.30362684805302004,33,1
91.759385,22.975251,BDHR41DT.ZIP,Bangladesh,2000,0.2996371342349762,-0.07311312680823683,29,0
91.785173,22.352302,BDHR41DT.ZIP,Bangladesh,2000,-0.4171704073373683,1.008608343862612,25,1
91.797783,22.532541,BDHR41DT.ZIP,Bangladesh,2000,0.684933914412644,-0.4561071683712125,33,1
91.817141,22.318688,BDHR41DT.ZIP,Bangladesh,2000,-0.06413503440771642,0.441770660754772,25,1
91.829228,22.380242,BDHR41DT.ZIP,Bangladesh,2000,0.11561468957893921,0.02781829293625834,22,1
91.830678,22.333432,BDHR41DT.ZIP,Bangladesh,2000,-0.3869991426135965,0.9667463608527488,24,1
91.831479,22.654644,BDHR41DT.ZIP,Bangladesh,2000,0.533501572052289,-0.3671800852898534,15,0
91.854838,22.372677,BDHR41DT.ZIP,Bangladesh,2000,-0.4336927009443323,0.8849718348967851,24,1
91.874328,24.387239,BDHR41DT.ZIP,Bangladesh,2000,0.21759629833898114,0.06060128903644842,36,0
91.87645,22.394531,BDHR41DT.ZIP,Bangladesh,2000,0.04880400743738817,0.4540165595837272,29,1
91.879339,21.831186,BDHR41DT.ZIP,Bangladesh,2000,0.8524155821391403,-0.8051642753555172,27,0
91.899517,21.624466,BDHR41DT.ZIP,Bangladesh,2000,0.7320938971381747,-0.7182631633542522,27,0
91.932511,21.917281,BDHR41DT.ZIP,Bangladesh,2000,1.0275924762826187,-0.8870977082250842,29,0
91.948527,22.276329,BDHR41DT.ZIP,Bangladesh,2000,0.8742133613257523,-0.6398580967238106,28,0
91.966769,24.576213,BDHR41DT.ZIP,Bangladesh,2000,0.7885008110601914,-0.6635323316720174,25,0
91.982131,23.120847,BDHR41DT.ZIP,Bangladesh,2000,-0.5214609155414889,0.8593881136160473,26,1
91.982429,21.440178,BDHR41DT.ZIP,Bangladesh,2000,-0.04310448690433013,0.45996889530604473,23,1
92.016922,22.564403,BDHR41DT.ZIP,Bangladesh,2000,0.4236333439933723,-0.13035429643319993,29,0
92.044312,24.449957,BDHR41DT.ZIP,Bangladesh,2000,0.8383568311784635,-0.7263374802957407,27,0
92.073667,21.493069,BDHR41DT.ZIP,Bangladesh,2000,0.7284871121541391,-0.6290460850177367,21,0
92.076636,23.256229,BDHR41DT.ZIP,Bangladesh,2000,0.20668361852880027,0.033043415580998374,51,0
92.085051,22.460347,BDHR41DT.ZIP,Bangladesh,2000,0.3512146041490664,-0.17372226352520037,30,0
92.171693,22.145431,BDHR41DT.ZIP,Bangladesh,2000,0.7666095035214435,-0.6424943825760073,26,0
92.177948,22.62988,BDHR41DT.ZIP,Bangladesh,2000,-0.20422284494484186,0.2059428258475163,10,1
92.22626,24.723348,BDHR41DT.ZIP,Bangladesh,2000,0.794915894743398,-0.6590992168254333,26,0
92.307163,22.472968,BDHR41DT.ZIP,Bangladesh,2000,0.6569239150302596,-0.528197040980568,19,0
92.310074,21.64858,BDHR41DT.ZIP,Bangladesh,2000,0.6548264005131831,-0.4420082520455471,73,0
1.33226762955019e-15,4.10782519111308e-15,BDHR4JDT.ZIP,Bangladesh,2004,-0.3976523850560608,0.8129906603820859,59,1
